ID,Zloss,Zgain,Zlessivage,I/E Ratio,Criteria,Soil Order,Suborder,Great Group,Subgroup,Deposit Material ,Drainage Class,Depth to Gleying ,Distance to RSF,E_Sand,E_Silt,E_Clay,I_Sand,I_Silt,I_Clay,E_Porosity,I_Porosity,E_pHw,I_pHw,E_OC,I_OC,E_EA,I_EA,E_TEB,I_TEB,E_CEC,I_CEC,E_BS,I_BS,E_MONOVALENT,E_DIVALENT,I_MONOVALENT,I_DIVALENT,E_SM,E_MI,E_HV,E_KA,E_GI,E_QZ,I_SM,I_MI,I_HV,I_KA,I_GI,I_QZ,E_DOMMIN,I_DOMMIN
S64_026,142,61,142,9.768236383,one,ods,aqu,Al,Arenic,Marine Deposits,PD,25,6068.78,95.67,2.8,1.53,82.5,2.6,14.9,0.44,0.38,5.13,4.9,0.87,0.46,1.52,8.19,0.29,0.55,5.95,8.74,0.15,0.06,0.03,0.25,0.08,0.47,0,0,4,4,0,92,0,0,29,58,0,13,QZ,KA
S07_014,117,86,117,9.449951151,one,ults,ud,Pale,Grossarenic,Marine Deposits,SPD,74,9999.5,85.97,12.01,2.01,71.36,9.6,19.04,0.4,0.35,5.29,4.79,0.22,0.12,2.02,4.14,0.31,0.71,1.64,4.85,0.2,0.24,0.03,0.28,0.08,0.63,0,0,40,24,0,36,0,0,41,47,0,12,MIXED,MIXED
S09_002,109,26,109,10.51172892,one,ods,aqu,Al,Alfic,Decomposition Residuum,SPD,23,560.66,98.06,0.89,1.06,86.8,2.1,11.1,0.41,0.38,5.38,6,0.26,0.2,1.05,2.91,0.69,4.89,2.57,7.8,0.26,0.63,0.02,0.67,0.06,4.83,0,0,38,23,0,39,0,0,35,41,0,24,MIXED,MIXED
S12_006,142,61,142,10.69930913,one,ults,aqu,Pale,Grossarenic,Marine Deposits,PD,23,3978.58,94.58,3.5,1.92,76.95,2.52,20.52,0.44,0.35,5.13,4.72,0.41,0.11,1.92,6.71,0.09,0.35,3,7.07,0.05,0.05,0.02,0.06,0.03,0.33,0,0,44,22,0,34,0,0,42,55,0,4,MIXED,KA
S14_002,79,101,79,10.37059176,one,alfs,aqu,Gloss,Arenic,Marine Deposits,PD,15,21976.32,96.62,2.02,1.36,83.76,2.13,14.11,0.41,0.34,6.72,6.38,0.45,0.16,1.36,2.31,2.04,4.27,2.81,6.58,0.78,0.64,0.09,1.94,0.17,4.1,0,0,37,29,0,35,0,0,38,50,0,12,MIXED,KA
S34_002,130,73,130,9.35124945,one,ults,ud,Pale,Aquic,Solution Residuum,SPD,79,11192.38,94.99,3.15,1.84,74.28,8.5,17.22,0.45,0.37,5.59,5.4,0.31,0.16,1.84,12.55,0.14,0.97,6.88,13.52,0.02,0.09,0.01,0.12,0.07,0.91,21,0,32,17,0,30,8,0,28,48,0,18,MIXED,KA
S37_002,127,127,127,4.881160758,one,ults,ud,Pale,Aquic,Marine Deposits,SPD,53,2448.87,82.46,14.12,3.42,73.73,9.58,16.69,0.32,0.33,5.16,5.17,0.17,0.03,3.42,4.6,0.08,0.22,2.01,4.82,0.05,0.05,0.01,0.08,0.01,0.21,0,0,46,10,0,45,0,0,33,62,0,6,MIXED,KA
S63_011,58,145,58,4.829577461,one,alfs,aqu,Endo,Arenic,Decomposition Residuum,PD,23,16746.13,91.63,4.94,3.43,77.71,5.74,16.55,0.39,0.31,5.79,5.23,0.43,0.06,3.43,5.66,3.23,3.94,6.04,9.6,0.41,0.39,0.29,2.93,0.12,3.82,17,0,34,20,0,29,8,0,23,50,0,20,MIXED,KA
S14_010,127,76,127,22.41176473,one,alfs,aqu,Endo,Grossarenic,Marine Deposits,PD,0,10260.83,97.82,1.44,0.74,81.5,2,16.5,0.37,0.35,4.76,3.8,0.12,0.02,0.74,4.94,0.29,3.76,0.7,8.7,0.53,0.43,0.04,0.25,0.17,3.59,22,0,13,31,0,34,22,0,7,62,0,9,MIXED,KA
S21_016,74,129,74,3.920893849,one,ults,ud,Hapl,Arenic,Alluvium,SPD,43,14251.11,89.9,5.95,4.15,78.39,5.35,16.26,0.46,0.39,4.79,4.17,0.41,0.08,4.14,6.98,0.34,0.54,2.49,7.52,0.15,0.07,0.04,0.31,0.06,0.47,0,0,24,38,0,38,26,0,16,48,0,12,MIXED,KA
S37_008,13,190,13,2.328986068,one,ults,ud,Kandi,Typic,Decomposition Residuum,WD,250,12218.7,74.8,11,13.6,63.48,4.82,31.67,0.46,0.38,5.3,5.41,2.48,0.16,13.6,8.81,3.61,1.96,16.21,10.77,0.22,0.18,0.17,3.44,0.07,1.89,0,0,16,41,0,43,0,0,10,87,0,3,MIXED,KA
S57_037,119,84,119,2.614821123,one,ults,ud,Pale,Aquic,Decomposition Residuum,SPD,43,7101.42,84.04,9.3,6.66,75.22,7.36,17.42,0.37,0.36,5.5,5.6,0.31,0.07,6.66,3.39,0.14,0.19,3.14,3.58,0.06,0.05,0.02,0.13,0.01,0.18,0,0,40,11,21,28,0,0,15,42,38,5,HV,MIXED
S60_004,74,129,74,26.1898848,one,alfs,ud,Pale,Aquic,Decomposition Residuum,SPD,61,12532.53,95.11,3.22,1.67,50.07,6.19,43.74,0.43,0.48,5.23,5.47,0.4,0.07,1.67,12.66,0.83,14.04,2.96,26.7,0.28,0.53,0.03,0.8,0.48,13.56,0,0,35,39,0,24,39,0,13,43,0,5,MIXED,MIXED
S02_022,53,137,66,2.143333496,one,ults,aqu,Pale,Umbric,Marine Deposits,VPD,0,7148.19,57.61,26.57,15.82,52.83,13.27,33.91,0.57,0.37,4.6,4.5,4.63,0.2,15.82,11.28,0.39,0.72,26.87,11.98,0.01,0.06,0.12,0.27,0.07,0.65,0,0,30,52,0,18,36,0,16,42,0,7,KA,MIXED
S32_036,20,193,20,2.012273971,two,alfs,aqu,Endo,Aeric,Alluvium,PD,28,18563,62.85,19.8,17.35,50.87,14.21,34.91,0.46,0.4,6.2,7.27,1.41,0.17,17.35,5.98,6.82,18.15,16.58,24.14,0.42,0.73,0.15,6.67,0.16,17.99,19,0,23,47,0,11,41,0,12,37,0,11,KA,MIXED
S63_010,18,185,18,2.843243242,one,ults,ud,Pale,Aquic,Decomposition Residuum,SPD,64,11293.53,87.7,6,6.3,77.04,5.05,17.91,0.42,0.39,5.4,5.13,1,0.09,6.3,8.95,2.22,2.69,8.97,11.64,0.25,0.24,0.22,2,0.14,2.55,0,0,26,54,0,20,32,0,16,32,0,20,KA,MIXED
S27_018,61,142,61,15.14408787,one,ods,aqu,Al,Ultic,Decomposition Residuum,PD,20,540.35,96.06,2.63,1.31,77.99,1.41,20.6,0.44,0.38,5.03,4.89,0.31,0.24,1.31,10.02,0.3,1.95,1.3,11.78,0.29,0.16,0.01,0.28,0.11,1.65,0,0,0,4,0,96,33,0,24,28,0,15,QZ,MIXED
S33_024,135,68,135,4.415389015,one,ods,aqu,Al,Aeric,Alluvium,PD,28,8437.03,95.48,3.53,0.99,93.87,1.75,4.38,0.41,0.41,4.67,4.67,1.05,1.43,0.99,12.2,0.55,0.2,10.56,12.4,0.05,0.02,0.03,0.52,0.03,0.17,23,0,17,11,0,49,45,0,0,46,0,9,QZ,MIXED
S43_005,91,61,91,17.964104,one,alfs,aqu,Gloss,Arenic,Marine Deposits,PD,13,1182.42,98.48,0.63,0.89,82.4,1.57,16.03,0.39,0.34,6.79,5.62,0.13,0.11,0.89,4.7,0.11,6.61,0.69,11.32,0.28,0.59,0.01,0.09,0.09,6.53,0,0,0,0,0,100,35,0,22,30,0,14,QZ,MIXED
S50_032,107,45,107,17.89891561,one,alfs,aqu,Endo,Grossarenic,Paludal Deposits,PD,10,29129.91,98.4,0.94,0.66,87.45,0.72,11.83,0.42,0.38,6.29,5.49,0.16,0.26,0.66,3.15,0.24,4.34,0.55,7.49,0.53,0.61,0,0.24,0.2,4.14,6,0,6,2,0,86,49,0,0,48,0,3,QZ,MIXED
S64_007,112,91,112,2.314124003,one,ods,aqu,Al,Aeric,Paludal Deposits,PD,23,1530.14,93.68,2.05,4.27,89.69,0.42,9.88,0.41,0.38,5.3,4.87,0.51,0.08,4.27,2.64,0.16,0.88,4.46,2.08,0.04,0.31,0.07,0.01,0.13,0.75,0,0,28,20,6,46,28,7,22,30,0,13,QZ,MIXED
S54_019,68,135,68,6.548907883,one,ults,ud,Pale,Aquic,Marine Deposits,SPD,68,5909.7,89.15,7.92,2.93,74.53,6.32,19.16,0.42,0.36,4.87,4.96,0.69,0.13,2.93,7.83,0.58,0.9,4.94,8.73,0.1,0.1,0.08,0.5,0.11,0.79,25,0,28,24,0,23,41,0,11,40,0,7,MIXED,MIXED
S37_018,36,15,36,4.682170541,one,ods,aqu,Al,Ultic,Alluvium,SPD,25,8964.25,92.06,6.87,1.08,80.8,6.26,12.94,0.48,0.43,4.89,4.9,0.35,0.75,1.08,13.07,0.18,0.21,3.07,13.28,0.07,0.02,0.04,0.13,0.04,0.17,37,0,11,13,0,39,12,0,40,9,0,39,MIXED,MIXED
S60_002,25,178,25,20.8422175,one,alfs,aqu,Alb,Typic,Decomposition Residuum,PD,0,19774.91,92.44,5.68,1.88,46.64,14.26,39.1,0.44,0.42,5.65,6.75,1.4,0.15,1.88,6.39,3.16,37.37,7.8,43.75,0.38,0.85,0.12,3.04,2.28,35.12,51,0,0,23,0,25,45,0,0,40,0,15,SM,MIXED
S51_030,43,15,43,13.42196533,one,alfs,ud,Hapl,Aquic,Marine Deposits,SPD,43,584.28,96.41,2.38,1.21,78.6,5.2,16.2,0.43,0.44,5.08,7,0.72,0.65,1.21,2.81,0.64,2.88,2.46,5.69,0.31,0.51,0.02,0.63,0.08,2.8,13,0,54,14,0,20,0,0,30,16,0,54,HV,QZ
S01_062,41,20,41,6.912790697,one,ods,aqu,Al,Ultic,Marine Deposits,PD,23,8382.76,94.2,5.18,0.63,81.6,3.28,15.12,0.45,0.48,5,4.75,0.57,1.88,0.63,15.75,0.66,0.33,3.23,16.08,0.2,0.02,0.04,0.62,0.07,0.26,0,0,7,5,0,88,0,0,21,21,0,58,QZ,QZ
S01_065,66,163,66,3.430103999,one,ults,ud,Pale,Arenic,Decomposition Residuum,WD,211,1771.31,88.05,5.72,6.23,72.27,6.35,21.38,0.43,0.4,5.6,5.48,0.36,0.09,6.23,17.22,2.37,7.34,7.76,24.56,0.3,0.3,0.16,2.21,0.15,7.19,0,0,22,10,0,68,0,0,0,0,0,95,QZ,QZ
S01_069,46,7,46,5.007594943,one,ods,aqu,Al,Ultic,Decomposition Residuum,PD,25,6722.03,94.85,4.29,0.86,68.97,4.37,26.66,0.45,0.56,5.63,4.7,0.39,1.86,0.86,22.3,0.15,0.14,2.09,22.44,0.07,0.01,0.03,0.12,0.08,0.06,0,0,0,13,0,87,0,0,36,14,0,50,QZ,QZ
S01_070,43,13,43,8.073469387,one,ods,aqu,Al,Ultic,Decomposition Residuum,PD,25,6624.14,95.34,4.09,0.57,72.79,4.02,23.19,0.42,0.49,4.86,4.6,0.65,2.31,0.57,20.93,0.53,0.16,3.49,21.09,0.13,0.01,0.06,0.47,0.02,0.14,0,0,20,7,0,73,0,0,20,27,0,53,QZ,QZ
S01_072,74,28,74,5.61750154,one,ods,aqu,Al,Ultic,Marine Deposits,PD,28,3582.77,96.95,2.42,0.62,83.62,7.49,8.9,0.4,0.38,6.26,4.74,0.36,1.34,0.63,15.44,0.69,0.4,1.45,15.83,0.46,0.02,0.02,0.66,0.02,0.37,0,0,13,9,0,78,0,0,0,0,0,95,QZ,QZ
S01_078,142,66,142,16.00715657,one,ods,orth,Al,Aquic,Marine Deposits,SPD,51,8962.22,95.14,3.82,1.04,79.97,3.32,16.71,0.41,0.35,5.57,5.15,0.22,0.06,1.04,3.91,2.97,0.23,6.88,4.14,0.08,0.06,0.25,2.74,0.03,0.2,0,0,12,7,0,81,0,0,10,20,19,51,QZ,QZ
S01_080,36,10,36,6.033519559,one,ods,aqu,Al,Ultic,Marine Deposits,PD,20,8014.43,93.72,5.28,0.99,78.42,3.81,17.78,0.41,0.44,4.57,4.4,0.85,2.45,0.99,21.81,0.35,0.23,7.23,22.04,0.05,0.01,0.06,0.3,0.06,0.17,0,0,5,7,0,88,0,0,9,5,0,86,QZ,QZ
S01_081,122,117,122,4.811653349,one,ods,aqu,Al,Ultic,Marine Deposits,VPD,0,8831.09,88.47,8.42,2.91,81.12,4.85,14.02,0.46,0.38,4.21,4.71,2.01,0.4,2.91,7.36,0.14,0.13,13.78,7.49,0.01,0.02,0.05,0.08,0.05,0.09,0,0,5,2,0,94,0,0,25,23,0,53,QZ,QZ
S08_006,145,58,145,12.79927449,one,ods,aqu,Al,Grossarenic,Paludal Deposits,PD,28,1990.82,99.21,0.22,0.57,90,2.7,7.3,0.42,0.46,5.33,4.1,0.12,6.23,0.57,26.06,0.1,0.73,0.77,26.79,0.21,0.03,0.06,0.05,0.05,0.68,0,0,0,0,0,100,0,0,20,0,0,80,QZ,QZ
S10_006,71,25,71,17.64857142,one,ods,orth,Al,Aquic,Marine Deposits,SPD,42,1793.2,96.98,2.78,0.24,90.75,5.08,4.18,0.44,0.51,4.31,4,0.35,2.03,0.24,19.62,0.19,0.19,4.61,19.81,0.03,0.01,0.02,0.17,0.08,0.11,0,0,0,0,0,100,18,0,24,11,0,47,QZ,QZ
S10_010,46,12,46,5.19774011,one,ods,aqu,Al,Ultic,Marine Deposits,PD,20,8856.55,92.87,6.37,0.77,76.95,7.08,15.97,0.47,0.43,3.86,3.6,1.45,1.66,0.77,14.11,0.64,0.15,7.29,14.26,0.09,0.01,0.12,0.52,0.06,0.09,0,0,0,0,0,100,0,0,35,16,0,49,QZ,QZ
S10_012,51,15,51,4.047619054,one,ods,aqu,Al,Aeric,Marine Deposits,PD,25,565.69,95.43,3.59,0.99,93.1,2.9,4,0.46,0.45,4.85,4.4,0.63,0.54,0.99,3.06,0.09,0.17,4.26,3.23,0.04,0.05,0.02,0.07,0.03,0.14,20,0,9,14,0,57,20,0,9,14,0,57,QZ,QZ
S12_017,48,20,48,2.11111111,one,ods,aqu,Al,Aeric,Marine Deposits,PD,20,3.36,95.21,2.99,1.8,93.5,2.8,3.7,0.48,0.42,4.82,5,1.47,1.27,1.8,12.4,0.27,0.47,7.79,12.87,0.07,0.04,0.04,0.23,0.03,0.45,15,0,10,15,0,60,14,0,17,10,0,59,QZ,QZ
S14_011,74,7,74,3.74043716,one,ods,aqu,Al,Alfic,Marine Deposits,PD,18,30024.03,97.21,1.8,0.99,82.64,3.02,14.33,0.45,0.4,4.96,4.5,1.67,1.19,0.99,6.8,1.42,1.28,4.83,8.08,0.3,0.16,0.08,1.34,0.05,1.23,0,0,0,0,0,100,10,0,16,10,0,64,QZ,QZ
S16_023,53,150,53,5.152561269,one,ods,aqu,Al,Typic,Marine Deposits,PD,0,2344.85,94.99,3.98,1.03,91.26,3.45,5.29,0.45,0.43,4.55,4.79,1,1.16,1.03,11.61,0.18,0.11,8.66,11.72,0.07,0.01,0.02,0.16,0.03,0.08,0,0,0,0,0,95,9,0,22,23,0,47,QZ,QZ
S18_009,33,13,33,5.944852941,one,ods,aqu,Al,Aeric,Paludal Deposits,PD,20,104.92,96.2,2.98,0.82,91,4.1,4.9,0.42,0.6,3.9,3.3,0.81,3.44,0.82,35.59,0.31,0.16,2.18,36.15,0.23,0,0.06,0.25,0.12,0.04,0,0,0,10,0,90,0,0,24,12,0,64,QZ,QZ
S18_011,104,36,104,20.66666667,one,ods,orth,Al,Aquic,Paludal Deposits,SPD,58,1622.45,97.91,1.94,0.15,93.4,3.5,3.1,0.46,0.55,4.55,3.7,0.23,1.6,0.15,16.34,0.1,0.14,1.08,16.48,0.11,0.01,0.03,0.08,0.09,0.05,0,0,0,0,0,100,15,0,15,9,0,61,QZ,QZ
S21_005,51,23,51,22.83658171,one,ods,orth,Al,Aquic,Marine Deposits,SPD,51,10174.61,97.89,1.97,0.17,91.8,4.31,3.9,0.41,0.44,4.46,4.1,0.22,1.81,0.17,9.98,0.15,0.22,0.89,10.2,0.17,0.02,0.03,0.12,0.06,0.15,0,0,13,12,0,75,0,0,32,14,0,54,QZ,QZ
S21_014,51,13,51,41,one,ods,aqu,Al,Ultic,Solution Residuum,PD,23,1109.13,96.22,3.68,0.1,78.73,4.29,16.98,0.39,0.42,3.95,3.6,0.5,1.2,0.1,25.18,0.4,0.23,14.42,25.41,0.02,0.01,0.07,0.33,0.09,0.14,0,0,0,0,0,100,0,0,15,26,0,59,QZ,QZ
S23_015,30,8,30,5.619047619,one,ods,aqu,Al,Ultic,Marine Deposits,PD,23,16122.79,90.75,8.2,1.05,81.26,6.86,11.89,0.43,0.45,4.95,5,0.7,1.69,1.05,12.24,0.37,0.17,5.49,12.41,0.06,0.01,0.02,0.36,0.01,0.16,12,0,6,16,0,66,21,0,23,14,0,42,QZ,QZ
S25_010,56,18,56,12.16161616,one,ods,aqu,Al,Ultic,Alluvium,PD,26,19930.71,96.39,3.25,0.35,81.76,5.29,12.95,0.45,0.42,5,4.7,0.78,1.56,0.35,10.23,0.8,0.71,2.89,10.94,0.23,0.07,0.03,0.78,0.01,0.7,0,0,0,0,0,100,20,0,0,0,0,80,QZ,QZ
S25_014,53,23,53,7.375357777,one,ods,aqu,Al,Aeric,Marine Deposits,PD,25,23229.65,97.96,1.43,0.6,89.78,5.8,4.42,0.49,0.48,4.9,4.65,1.65,2.11,0.6,15.48,0.54,0.33,4.12,15.81,0.14,0.02,0.04,0.49,0.07,0.25,0,0,0,0,0,100,0,0,9,6,0,85,QZ,QZ
S25_015,117,30,117,16.49339207,one,ods,orth,Al,Aquic,Marine Deposits,MWD,78,14572.27,97.69,1.92,0.39,91.58,3.31,5.11,0.44,0.4,5.6,4.5,0.43,3.05,0.39,23.05,0.25,0.51,0.73,23.56,0.53,0.02,0.03,0.22,0.04,0.47,0,0,0,14,0,86,7,0,0,0,0,93,QZ,QZ
S28_022,142,15,142,6.826923083,one,ods,orth,Al,Aquic,Marine Deposits,SPD,76,277.23,98.69,0.73,0.59,92.2,3.8,4,0.39,0.39,5.41,4.9,0.05,0.93,0.59,7.92,0.07,0.08,0.48,8,0.13,0.01,0.01,0.05,0.03,0.05,33,0,10,16,0,41,12,0,7,4,0,77,QZ,QZ
S31_003,84,35,84,4.358803987,one,ods,aqu,Al,Arenic,Marine Deposits,PD,33,1886.51,97.69,1.22,1.08,90.95,4.07,4.98,0.47,0.49,5.85,4.23,0.53,2.73,1.07,21.6,0.53,0.5,3.07,22.1,0.16,0.02,0.06,0.46,0.13,0.37,14,0,17,9,0,60,36,0,0,11,0,53,QZ,QZ
S34_004,48,38,48,1.862262038,one,ods,aqu,Al,Typic,Solution Residuum,PD,0,9196.2,89.84,7.88,2.35,90.9,4.5,4.6,0.61,0.42,4.19,4.7,4.48,1.27,2.35,13.27,1.18,0.15,30.37,13.41,0.04,0.01,0.3,0.88,0.06,0.09,21,0,0,10,0,69,22,0,27,17,0,34,QZ,MIXED
S36_012,112,5,112,6.770780847,one,ods,aqu,Al,Arenic,Solution Residuum,PD,36,63141.95,98.69,0.6,0.71,93.7,1.5,4.8,0.44,0.38,5.42,5.3,0.38,1.89,0.71,16.19,0.23,2.2,5.97,18.39,0.04,0.12,0.03,0.2,0.07,2.13,0,0,9,2,0,90,0,0,14,5,20,61,QZ,QZ
S36_020,91,49,91,15.70833333,one,ods,aqu,Al,Arenic,Solution Residuum,PD,23,41879.05,98.35,1.33,0.32,91,4.02,4.97,0.4,0.38,5.43,4.25,0.42,3.06,0.32,26.19,0.19,0.28,1.74,26.48,0.1,0.01,0.03,0.16,0.12,0.16,0,0,41,0,0,59,0,0,9,23,0,68,QZ,QZ
S37_010,150,53,150,4.616926951,one,alfs,aqu,Pale,Grossarenic,Decomposition Residuum,PD,18,10206.35,91.08,5.74,3.18,80.79,4.53,14.68,0.37,0.3,5.6,5.33,0.23,0.04,3.18,4.29,0.21,2.33,2.63,6.62,0.07,0.35,0.03,0.18,0.08,2.25,6,0,23,21,0,51,0,0,0,5,0,95,QZ,QZ
S45_027,46,33,46,4.803030303,one,ods,aqu,Al,Aeric,Marine Deposits,PD,18,1005.09,95.67,3.53,0.8,90.31,5.65,4.04,0.49,0.48,3.32,3.65,0.47,1.31,0.8,12.98,0.27,0.14,2.41,13.12,0.32,0.01,0.08,0.19,0.05,0.09,0,0,0,0,0,100,0,0,32,10,0,58,QZ,QZ
S49_029,36,10,36,7.142857143,one,ods,aqu,Al,Aeric,Marine Deposits,PD,18,14001.84,95.16,4.14,0.7,88.62,7.04,4.34,0.45,0.48,5.04,4.8,0.95,2.64,0.7,24.4,0.75,0.41,4.73,24.81,0.15,0.02,0.05,0.7,0.08,0.33,0,0,13,4,0,83,0,0,6,5,0,89,QZ,QZ
S49_030,109,94,109,13.96264691,one,ods,aqu,Al,Alfic,Marine Deposits,SPD,28,23702.53,97.1,1.87,1.02,82.46,3.23,14.31,0.45,0.39,5.22,5.33,0.38,0.69,1.03,10.92,0.12,2.77,2.06,13.68,0.1,0.22,0.03,0.08,0.34,2.43,0,0,2,10,0,88,27,0,1,23,0,49,QZ,QZ
