ID,Zloss,Zgain,Zlessivage,I/E Ratio,Criteria,Soil Order,Suborder,Great Group,Subgroup,Deposit Material ,Drainage Class,Depth to Gleying ,Distance to RSF,E_Sand,E_Silt,E_Clay,I_Sand,I_Silt,I_Clay,E_Porosity,I_Porosity,E_pHw,I_pHw,E_OC,I_OC,E_EA,I_EA,E_TEB,I_TEB,E_CEC,I_CEC,E_BS,I_BS,E_MONOVALENT,E_DIVALENT,I_MONOVALENT,I_DIVALENT,E_SM,E_MI,E_HV,E_KA,E_GI,E_QZ,I_SM,I_MI,I_HV,I_KA,I_GI,I_QZ,E_DOMMIN,I_DOMMIN
S51_008,43,10,43,2.314142681,one,ods,aqu,Al,Ultic,Marine Deposits,PD,28,15238.72,96.28,1.87,1.86,83.9,3.41,12.7,0.49,0.44,5.67,4.7,0.84,2.17,1.86,13.26,2.13,0.52,4.08,13.78,0.44,0.04,0.02,2.11,0.02,0.5,0,0,0,11,0,89,0,0,10,7,0,83,QZ,QZ
S53_002,53,13,53,6.394431554,one,ods,aqu,Al,Ultic,Marine Deposits,PD,30,3735.13,94,5.18,0.81,78.19,6.68,15.13,0.47,0.48,5.02,4.4,0.76,2.61,0.81,24.32,1.03,0.86,4.22,25.18,0.21,0.03,0.05,0.99,0.21,0.65,0,0,0,0,0,100,0,0,16,15,13,53,QZ,QZ
S53_024,48,8,48,3.926657263,one,ods,orth,Al,Aquic,Marine Deposits,SPD,76,7033.71,96.4,2.12,1.48,87.42,5.68,6.89,0.44,0.46,3.63,4.5,1.51,1.98,1.48,29.02,1.02,1.01,10.78,30.03,0.08,0.03,0.24,0.78,0.38,0.63,0,0,0,0,0,100,17,0,16,10,0,57,QZ,QZ
S54_005,51,7,51,3.68231047,one,ods,aqu,Al,Alfic,Marine Deposits,PD,25,6828.31,89.65,9.26,1.09,78.34,8.07,13.59,0.48,0.49,4.55,4.5,1.3,3.49,1.09,21.64,0.77,0.55,5.91,22.19,0.12,0.03,0.07,0.7,0.07,0.48,0,0,0,0,0,100,13,0,33,9,0,45,QZ,QZ
S55_032,36,17,36,2.025128498,one,ods,aqu,Al,Aeric,Marine Deposits,PD,25,9739.6,91.2,3.65,5.15,84.3,5.27,10.43,0.54,0.53,5.05,4.98,1.79,3.51,5.15,31.21,1.31,0.35,13.32,31.56,0.1,0.01,0.1,1.22,0.09,0.27,0,0,0,0,0,100,0,0,5,4,0,91,QZ,QZ
S55_033,43,38,43,2.383891213,one,ods,aqu,Al,Alfic,Marine Deposits,PD,25,2470.34,94.71,1.96,3.33,88.4,2.04,9.56,0.46,0.49,4.71,5.36,0.74,1.53,3.34,17.39,1.48,2.09,5.62,19.48,0.38,0.13,0.09,1.39,0.09,2,0,0,0,0,0,100,8,0,0,4,0,88,QZ,QZ
S66_024,46,33,46,6.22576166,one,ods,aqu,Al,Aeric,Marine Deposits,PD,23,2920.68,93.53,5.66,0.81,89.27,5.71,5.02,0.44,0.43,4.66,4.67,0.79,1.38,0.81,15.85,0.34,0.17,4.22,16.02,0.07,0.01,0.07,0.27,0.05,0.12,21,0,4,5,0,70,34,0,7,5,0,54,QZ,QZ
S16_006,99,36,99,5.757969027,one,ods,orth,Al,Arenic,Marine Deposits,MWD,100,458.66,96.36,2.53,1.11,90.95,2.66,6.39,0.51,0.5,4.59,4.46,0.9,1.26,1.11,18.74,0.49,0.72,4.13,19.46,0.21,0.04,0.04,0.46,0.16,0.55,0,0,47,10,0,43,24,0,15,11,0,51,MIXED,QZ
S51_023,33,8,33,3.422872342,one,ods,aqu,Al,Aeric,Marine Deposits,PD,25,10550.38,94.6,4.26,1.14,93.1,3,3.9,0.49,0.52,4.47,4.7,1.54,1.76,1.14,13.81,0.65,0.15,10.36,13.96,0.05,0.01,0.12,0.52,0.1,0.05,36,0,12,14,0,38,0,0,25,10,11,54,MIXED,QZ
S16_015,58,23,58,4.323525555,one,ods,aqu,Al,Ultic,Marine Deposits,PD,15,7026.1,94.19,4.67,1.14,83.25,2.51,14.23,0.48,0.55,5.79,4.62,0.52,1.95,1.14,18.97,0.43,0.94,3.07,19.91,0.09,0.05,0.04,0.39,0.04,0.89,31,0,0,3,0,66,0,0,39,25,0,36,QZ,MIXED
S55_022,175,28,175,3.493013973,one,ods,orth,Al,Aquic,Marine Deposits,SPD,48,5763.9,96.7,2.16,1.15,93.8,2.2,4,0.45,0.42,6.15,6.3,0.16,1.4,1.14,11.52,0.46,0.5,1.57,12.02,0.34,0.04,0.05,0.42,0.06,0.44,0,0,43,9,20,28,0,0,30,25,15,30,HV,MIXED
S01_066,124,94,124,7.293137634,one,ults,ud,Pale,Grossarenic,Decomposition Residuum,WD,183,1738.64,92.28,4.52,3.19,71.53,5.19,23.29,0.41,0.39,5.76,5.28,0.19,0.07,3.19,14.85,0.74,3.67,3.47,18.52,0.19,0.22,0.05,0.69,0.14,3.53,0,0,35,16,0,49,0,0,35,34,0,32,QZ,MIXED
S53_016,64,27,64,8.748821549,one,ods,aqu,Al,Aeric,Marine Deposits,PD,25,5455.26,98,1.48,0.52,92.9,2.59,4.51,0.43,0.45,4.72,4.46,0.45,1.37,0.52,16.52,0.48,0.29,2.5,16.81,0.13,0.02,0.03,0.45,0.04,0.25,29,0,0,12,0,59,14,0,31,26,0,29,QZ,MIXED
S64_027,68,135,68,12.19506808,one,alfs,aqu,Endo,Umbric,Marine Deposits,VPD,0,1672.33,83.49,14.8,1.72,74.3,4.77,20.93,0.44,0.33,5.42,5.13,0.83,0.07,1.72,4.57,0.17,1.9,3.83,6.47,0.18,0.3,0.06,0.11,0.19,1.71,0,0,9,4,0,87,0,0,17,43,0,40,QZ,MIXED
S14_005,109,56,109,16.655278,one,ods,aqu,Al,Arenic,Marine Deposits,PD,25,27937.93,98.52,1,0.48,88.16,3.91,7.93,0.47,0.47,4.9,4.25,0.29,1.73,0.48,26.21,0.26,0.17,2.11,26.38,0.09,0.01,0.03,0.23,0.03,0.14,0,0,0,29,0,71,34,0,12,24,0,31,QZ,MIXED
S01_077,18,193,18,19.63615429,one,alfs,ud,Pale,Aquic,Decomposition Residuum,SPD,53,5984.56,93.7,5.4,0.9,71.92,10.41,17.67,0.43,0.4,6.2,5.55,0.71,0.11,0.9,12.41,3.2,7.54,5.81,19.95,0.55,0.39,0.04,3.16,0.14,7.41,0,0,49,9,0,42,93,0,0,2,0,5,MIXED,SM
S12_001,69,134,69,8.83105318,one,ults,ud,Pale,Arenic,Marine Deposits,WD,91,9575.16,93.49,3.37,3.15,67.57,4.64,27.79,0.41,0.39,5.35,4.96,0.48,0.2,3.15,13.66,0.46,6.36,3.33,20.03,0.15,0.32,0.06,0.4,0.21,6.16,0,0,41,32,0,27,61,0,11,17,0,11,HV,SM
S55_035,71,132,71,4.75345886,one,olls,aqu,Argi,Arenic,Marine Deposits,PD,0,6921.19,90.32,5.88,3.79,77.16,4.81,18.04,0.42,0.42,5.8,4.88,0.65,0.1,3.8,9.6,4.71,7.98,8.96,17.58,0.46,0.46,0.62,4.09,0.54,7.45,22,0,40,12,0,26,58,0,18,22,0,2,HV,SM
S57_032,58,125,58,1.787253975,two,ults,ud,Pale,Aquic,Alluvium,SPD,58,21614.46,41.78,35.88,22.44,34.29,25.61,40.1,0.45,0.43,4.26,4.49,1.32,0.18,22.46,16.21,0.43,0.73,14.48,16.94,0.03,0.04,0.08,0.35,0.16,0.58,7,0,44,31,0,18,40,0,25,29,0,6,HV,SM
S64_023,107,96,107,7.859460571,one,alfs,aqu,Endo,Grossarenic,Paludal Deposits,PD,0,6358.15,95.91,2.39,1.71,84.33,2.26,13.41,0.4,0.37,6.02,6.08,0.29,0.18,1.71,3.04,0.33,5.66,1.1,8.7,0.3,0.65,0.01,0.32,0.14,5.52,21,0,37,12,0,30,45,0,26,25,0,4,MIXED,SM
S65_003,66,61,66,12.25407167,one,alfs,aqu,Alb,Arenic,Decomposition Residuum,PD,0,14734.48,95.53,3.08,1.4,78.5,4.4,17.1,0.44,0.43,4.87,6.6,0.77,0.04,1.4,3.41,0.45,11.93,4.83,15.34,0.17,0.78,0.09,0.35,0.27,11.66,0,0,48,16,0,36,58,0,31,4,0,7,HV,SM
S31_004,30,16,30,3.305555556,one,alfs,aqu,Endo,Lithic,Marine Deposits,PD,25,534.7,93.73,2.67,3.6,82.4,5.7,11.9,0.43,0.45,4.83,6.7,0.77,0.71,3.6,2.08,2.6,25.67,6.73,27.75,0.37,0.93,0.3,2.3,1.42,24.25,34,0,29,16,0,21,49,0,28,11,0,12,MIXED,SM
S37_031,15,188,15,2.65878005,two,alfs,aqu,Alb,Typic,Alluvium,PD,0,6521.38,57.5,27.1,15.4,35,24.06,40.95,0.46,0.42,5.1,4.91,2.07,0.22,15.4,15.95,3.41,16.15,15.59,32.1,0.22,0.49,0.16,3.25,0.43,15.73,36,0,16,42,0,6,74,0,0,21,0,6,MIXED,SM
S38_029,20,183,20,3.746197906,one,alfs,ud,Pale,Ultic,Decomposition Residuum,WD,250,8089.56,86.1,5.6,8.3,60.87,8.04,31.09,0.44,0.44,5.8,4.99,0.86,0.14,8.3,17.59,5.11,9.6,12.16,27.19,0.42,0.35,0.5,4.61,0.2,9.41,0,0,30,54,0,16,45,0,19,20,0,17,KA,SM
S55_008,68,135,70,4.109619792,one,alfs,aqu,Endo,Grossarenic,Marine Deposits,PD,2,2509.75,95.06,2.72,2.21,86.95,3.95,9.1,0.41,0.39,5.84,5.46,0.37,0.1,2.22,3.77,0.29,2.86,3.7,6.63,0.08,0.4,0,0.28,0.13,2.73,0,48,0,16,0,36,80,9,0,11,0,0,MI,SM
S01_098,33,170,33,6.151711831,one,ults,aqu,Pale,Arenic,Solution Residuum,PD,33,12248.36,91.09,4.86,4.05,68.26,6.85,24.89,0.37,0.39,5.18,4.6,0.38,0.14,4.04,17.97,1.23,2.5,4.28,20.47,0.28,0.14,0.31,0.92,0.27,2.23,4,0,16,11,0,69,56,0,9,15,0,21,QZ,SM
S08_001,74,129,74,14.12375371,one,alfs,aqu,Endo,Arenic,Solution Residuum,PD,28,33790.48,96.83,2.34,0.83,84.41,3.86,11.74,0.4,0.34,6.99,7.59,0.28,0.06,0.83,0.99,4.76,8.89,5.09,9.88,0.68,0.87,0.16,4.6,0.23,8.65,22,0,10,6,0,63,62,0,13,8,0,17,QZ,SM
S08_008,41,94,41,8.795818622,one,alfs,aqu,Endo,Typic,Solution Residuum,VPD,8,37808.34,97.39,1.35,1.26,86.44,2.45,11.11,0.36,0.36,6.38,5.24,0.1,0.11,1.26,2.84,0.59,3.76,0.98,6.6,0.55,0.58,0.03,0.56,0.08,3.67,18,0,17,22,0,43,41,0,19,33,0,8,QZ,MIXED
S16_021,66,137,66,8.398405766,one,alfs,aqu,Endo,Arenic,Marine Deposits,VPD,0,4224.9,85.74,12.09,2.17,74.99,6.76,18.25,0.5,0.35,4.69,4.52,1.67,0.16,2.17,7.25,0.45,4.02,10.07,11.27,0.04,0.32,0.05,0.4,0.54,3.49,0,0,28,12,0,60,49,2,12,19,0,18,QZ,SM
S22_002,107,35,107,61.25362322,one,alfs,aqu,Endo,Grossarenic,Paludal Deposits,PD,0,26070.42,98.64,1.1,0.26,81.9,2.3,15.8,0.39,0.33,5.07,4.3,0.2,0.36,0.26,6.73,0.43,11.58,1.44,18.31,0.33,0.63,0.06,0.37,0.42,11.16,20,0,20,13,0,48,47,0,20,24,0,9,QZ,SM
S28_010,53,150,53,9.659773995,one,alfs,aqu,Endo,Arenic,Marine Deposits,PD,18,12442.6,97.71,1.63,0.67,87.12,4.43,8.45,0.44,0.38,4.49,7.15,0.51,0.07,0.67,0.99,0.53,12.9,3.24,13.89,0.26,0.92,0.08,0.45,0.19,12.71,40,0,0,0,0,60,84,0,0,7,0,8,QZ,SM
S31_007,76,107,76,16.89159553,one,ods,orth,Al,Aquic,Marine Deposits,SPD,60,4913.98,97.84,1.43,0.73,81.29,3.34,15.37,0.42,0.41,4.64,4.69,0.15,0.49,0.73,10.27,0.12,1.12,1.37,11.39,0.08,0.1,0.02,0.11,0.15,0.97,35,0,0,12,0,53,35,0,12,25,0,29,QZ,MIXED
S33_037,43,33,45,12.75883837,one,alfs,aqu,Alb,Mollic,Decomposition Residuum,PD,0,14282.15,94.7,3.45,1.84,70.6,5.9,23.5,0.45,0.5,6.25,7.7,1.12,0.12,1.84,5.2,2.68,24.96,6.75,30.16,0.52,0.83,0.06,2.62,0.35,24.61,0,0,25,10,0,65,84,0,10,1,0,5,QZ,SM
S33_038,81,36,83,16.00378503,one,alfs,aqu,Alb,Arenic,Decomposition Residuum,PD,15,14272.5,94.84,3.53,1.63,68,5.9,26.1,0.45,0.46,6.56,7.8,0.67,0.12,1.63,6.31,1.75,27.72,4.34,34.03,0.57,0.82,0.05,1.71,0.37,27.35,31,0,11,9,0,49,95,0,0,1,0,4,QZ,SM
S34_005,33,170,33,21.78431373,one,alfs,aqu,Alb,Typic,Solution Residuum,PD,0,13315.89,94.12,4.82,1.06,63.37,13.46,23.17,0.43,0.41,4.86,7.29,0.49,0.1,1.06,5.57,0.58,29.62,3.9,35.22,0.14,0.84,0.02,0.56,0.12,29.51,31,0,14,15,0,40,79,0,11,7,0,4,QZ,SM
S38_018,53,150,53,26.62619045,one,ods,aqu,Hapl,Ultic,Solution Residuum,PD,28,5105.33,96.01,3.41,0.58,82.28,2.24,15.47,0.42,0.4,4.57,4.73,0.36,0.31,0.58,12.7,0.14,1.31,2.6,14.01,0.05,0.1,0.02,0.12,0.07,1.24,0,0,0,0,0,100,49,0,27,7,0,17,QZ,SM
S43_001,81,122,81,11.40307376,one,ods,aqu,Al,Alfic,Marine Deposits,PD,30,1925.58,98.51,0.6,0.89,86.93,1.53,11.54,0.38,0.34,5.91,5.24,0.28,0.78,0.89,9.01,0.12,2.84,1.71,11.85,0.07,0.27,0.02,0.1,0.16,2.67,0,0,0,14,0,86,41,0,3,21,0,35,QZ,MIXED
S43_016,64,17,64,13.17912553,one,olls,aqu,Endo,Arenic,Eolian,PD,20,3280.09,97.65,1.24,1.11,81.9,3.5,14.6,0.42,0.41,7.99,8.6,0.28,0.08,1.11,3.37,1.85,19.76,2.47,23.13,0.68,0.85,0.06,1.79,0.71,19.05,40,0,0,10,0,50,65,0,0,4,0,31,QZ,SM
S43_018,91,51,91,14.75032678,one,alfs,aqu,Gloss,Arenic,Eolian,PD,10,6616.25,98.21,1.15,0.64,88.93,1.59,9.48,0.43,0.39,6.96,6.91,0.19,0.16,0.64,3.08,0.45,8.16,1.22,11.24,0.41,0.75,0.03,0.42,0.09,8.06,32,0,0,15,0,53,76,0,0,11,0,14,QZ,SM
S43_020,30,173,30,9.554190771,one,alfs,aqu,Endo,Typic,Marine Deposits,PD,0,1564.08,94.9,3.5,1.6,78.32,6.39,15.29,0.51,0.38,6.49,8.68,1.55,0.34,1.6,2.6,4.51,27.4,7.17,30,0.64,0.91,0.13,4.39,1.05,26.34,41,0,0,10,0,49,57,0,0,15,0,27,MIXED,SM
S43_024,86,112,91,13.8056507,one,ods,aqu,Al,Alfic,Marine Deposits,PD,0,261.74,95.92,2.89,1.19,79.4,4.2,16.41,0.39,0.32,4.83,6.56,1.22,0.9,1.19,4.29,1.07,10.69,3.56,14.98,0.3,0.68,0.13,0.95,0.07,10.62,20,0,0,18,0,62,52,0,16,22,0,10,QZ,SM
S45_024,84,119,84,22.62384361,one,alfs,aqu,Endo,Arenic,Marine Deposits,PD,0,13850.1,90.98,7.81,1.2,64.82,7.95,27.23,0.44,0.42,4.64,4.63,0.45,0.09,1.2,12.81,0.21,10.74,3.25,23.55,0.1,0.45,0.05,0.16,0.4,10.34,24,0,19,24,0,33,69,0,6,19,0,7,QZ,SM
S45_025,112,91,112,21.16420117,one,alfs,aqu,Endo,Grossarenic,Marine Deposits,PD,0,13816.65,90.79,7.72,1.49,59.73,8.83,31.44,0.46,0.43,4.76,4.5,0.65,0.1,1.49,13.5,0.17,10.04,4.18,23.55,0.07,0.42,0.04,0.14,0.41,9.63,28,0,18,20,0,34,70,0,0,20,0,10,MIXED,SM
S49_034,64,30,64,4.875846501,one,ults,aqu,Umbr,Arenic,Marine Deposits,VPD,0,17355.97,93.62,3.61,2.77,81.8,4.7,13.5,0.53,0.41,5.98,7.5,1.26,0.31,2.77,3.5,2.08,8.31,7.49,11.81,0.42,0.7,0.16,1.92,0.15,8.16,0,0,23,23,0,54,80,0,13,4,0,3,QZ,SM
S53_012,89,114,89,15.75190028,one,ods,aqu,Al,Alfic,Marine Deposits,PD,25,3665.64,94.14,4.77,1.09,76.74,6.02,17.24,0.38,0.34,6.58,5.28,0.47,0.16,1.09,5.64,2.15,9.74,4.99,15.39,0.48,0.64,0.27,1.88,4.3,5.45,22,0,8,11,0,60,83,0,0,13,0,4,QZ,SM
S54_021,84,76,84,11.81690141,one,alfs,aqu,Endo,Arenic,Marine Deposits,PD,13,8425.16,93.61,4.62,1.78,74.92,4.11,20.98,0.44,0.47,4.73,3.98,0.52,0.45,1.78,8.88,1.04,2.84,2.9,11.72,0.28,0.27,0.07,0.97,0.2,2.63,31,0,16,16,0,37,44,0,20,24,0,12,MIXED,SM
S55_037,107,96,107,3.626065937,one,alfs,aqu,Endo,Grossarenic,Marine Deposits,VPD,0,3393.16,95.42,2.74,1.84,91.59,1.72,6.69,0.45,0.42,5.6,6.24,0.58,0.13,1.84,1.44,1.3,3.13,3.99,4.58,0.26,0.68,0.14,1.16,0.24,2.9,32,0,26,0,0,42,49,0,22,19,0,10,QZ,SM
S56_029,107,76,107,14.27988879,one,alfs,aqu,Endo,Grossarenic,Marine Deposits,PD,15,5491.77,96.57,2.43,1.01,81.9,3.7,14.4,0.42,0.34,6.94,7.7,0.27,0.2,1.01,3.02,1.25,7.02,1.77,10.04,0.68,0.7,0.04,1.21,1.22,5.8,0,0,12,0,0,88,76,0,0,18,0,6,QZ,SM
S18_004,66,137,66,13.91079229,one,alfs,aqu,Gloss,Arenic,Marine Deposits,PD,8,10426.82,97.22,1.91,0.88,86.34,1.48,12.18,0.4,0.41,5.12,5.65,0.19,0.41,0.88,2.53,0.34,6.81,1.22,9.35,0.3,0.73,0.03,0.31,0.21,6.61,0,0,39,26,0,36,61,0,17,16,0,6,MIXED,SM
S51_017,23,203,23,7.682454166,one,alfs,ud,Hapl,Albaquic,Decomposition Residuum,SPD,38,6100.97,89.28,5.65,5.07,50.72,10.37,38.91,0.43,0.43,5.9,5.33,1.88,0.23,5.06,15.42,5.43,10.29,12.86,25.71,0.42,0.4,0.19,5.25,0.51,9.79,0,0,33,30,0,37,55,0,0,31,0,14,MIXED,SM
S65_004,64,63,64,12.54271357,one,alfs,ud,Hapl,Aquic,Decomposition Residuum,SPD,64,14676.27,94.77,3.98,1.24,79.9,4.5,15.6,0.45,0.42,4.59,6,0.32,0.17,1.24,4.58,0.16,9.88,3.01,14.46,0.06,0.68,0.06,0.11,0.26,9.62,25,0,34,12,0,29,52,0,38,4,0,6,MIXED,SM
S66_017,51,152,59,1.752115182,one,ults,aqu,Pale,Umbric,Decomposition Residuum,VPD,0,18660.94,49.13,35.83,15.03,45.07,28.59,26.34,0.53,0.41,4.23,4.42,4.13,0.4,15.03,9.46,0.51,0.17,31.52,9.62,0.02,0.03,0.18,0.32,0.11,0.06,18,0,36,21,0,25,42,0,23,27,0,8,MIXED,SM
S56_033,30,125,30,3.629400521,one,alfs,aqu,Gloss,Typic,Marine Deposits,PD,0,5258.92,90.27,5.89,3.84,81.78,4.29,13.92,0.49,0.39,6.93,7.15,2.27,0.12,3.84,3.37,11.04,9.68,14.4,13.05,0.75,0.75,0.28,10.76,0.75,8.93,0,17,0,44,0,39,93,0,0,7,0,0,MIXED,SM
S60_015,71,132,71,17.94305916,one,alfs,aqu,Endo,Arenic,Decomposition Residuum,PD,15,11523.9,94.37,4.11,1.52,64.82,7.86,27.32,0.43,0.37,6.89,6.67,0.36,0.07,1.52,6.36,3.07,13.47,3.81,19.83,0.71,0.68,0.01,3.06,0.15,13.34,38,0,14,13,0,35,70,0,9,11,0,10,MIXED,SM
S01_097,38,168,38,8.463776973,one,alfs,aqu,Alb,Typic,Solution Residuum,PD,46,12260.92,88.07,7.92,4,58.93,7.19,33.88,0.37,0.34,5.96,5.11,0.51,0.23,4,10.36,2.3,13.6,3.54,23.96,0.69,0.57,0.05,2.25,0.57,13.02,53,0,21,6,0,20,54,0,21,11,0,14,SM,SM
S04_003,30,127,30,3.40320468,one,alfs,aqu,Endo,Typic,Marine Deposits,PD,8,16096.47,75.36,17.59,7.05,61.99,14.01,24,0.49,0.42,5.26,7.59,1.68,0.14,7.05,4.35,5.47,28.53,13.53,32.88,0.44,0.85,0.77,4.7,0.76,27.75,68,0,14,10,0,8,81,0,0,10,0,10,SM,SM
S09_018,13,7,13,1.600849256,one,ents,psamm,Quartzi,Lithic,Paludal Deposits,SPD,30,5806.15,90.01,6.37,3.62,86,8.2,5.8,0.52,0.5,5.87,8.2,1.6,1.17,3.62,0.58,7.34,27.39,11.4,27.97,0.72,0.98,1.77,5.57,4.6,22.79,41,0,34,13,0,12,57,0,27,9,0,7,MIXED,SM
S10_016,33,170,33,4.460571895,one,alfs,aqu,Alb,Typic,Marine Deposits,PD,0,12268.26,76.28,17.17,6.55,56.24,14.83,29.2,0.45,0.41,5.39,5.8,1.06,0.14,6.55,4.7,3.99,16.36,6,21.07,0.69,0.77,0.23,3.76,0.81,15.55,71,0,0,25,0,4,84,0,0,9,5,2,SM,SM
S10_017,28,175,28,5.793767086,one,alfs,aqu,Alb,Typic,Paludal Deposits,PD,15,12202.69,68.2,25.27,6.53,41.38,20.78,37.85,0.4,0.43,4.83,5.49,1.33,0.29,6.53,8.27,1.82,20.56,6.51,28.83,0.35,0.69,0.12,1.7,1.25,19.31,39,0,23,30,0,8,85,0,0,13,0,2,MIXED,SM
S12_018,84,15,84,20.24096386,one,alfs,ud,Hapl,Arenic,Decomposition Residuum,WD,250,2187.49,94.34,4.87,0.79,78.2,5.8,16,0.42,0.41,5.68,6.7,0.11,0.23,0.79,1.8,0.6,11.44,1.16,13.24,0.55,0.86,0.02,0.57,0.09,11.35,37,0,21,14,0,28,45,0,12,27,0,16,SM,SM
S14_017,66,137,66,28.90004905,one,ods,aqu,Al,Alfic,Marine Deposits,PD,27,25379.61,96.21,3.07,0.72,73.51,5.64,20.84,0.46,0.4,4.73,5.31,0.91,0.29,0.72,11.27,0.85,12.49,4.58,23.76,0.19,0.48,0.07,0.78,0.17,12.32,57,0,0,8,0,35,71,0,6,6,0,17,SM,SM
S16_012,30,87,30,1.32428756,two,alfs,aqu,Endo,Umbric,Marine Deposits,VPD,0,166.24,68.1,15,16.9,69.02,8.6,22.38,0.46,0.46,5.2,6.72,1.87,0.36,16.9,6.83,10.29,15.52,26.49,22.35,0.39,0.69,0.29,10,0.31,15.21,76,0,13,2,0,9,86,0,7,2,0,5,SM,SM
S16_016,15,188,15,3.083267016,one,alfs,aqu,Endo,Typic,Marine Deposits,PD,0,3131.11,73.47,17.09,9.45,60.12,10.76,29.13,0.41,0.41,7.33,8.11,4.91,0.19,9.45,4.89,15.66,25.36,17.91,30.24,0.87,0.83,0.43,15.23,0.23,25.13,61,0,21,6,0,12,88,0,2,6,0,3,SM,SM
S18_022,13,190,13,2.500736084,one,alfs,aqu,Endo,Typic,Marine Deposits,PD,8,6426.23,67.18,20,12.82,50.65,17.3,32.05,0.49,0.39,4.86,6.1,5.43,0.15,12.82,7.13,15.58,20.41,30.13,27.54,0.56,0.74,1.99,13.6,2.76,17.66,60,0,13,19,0,8,70,0,8,17,0,6,SM,SM
S19_021,61,66,61,4.751930794,one,alfs,aqu,Alb,Arenic,Alluvium,PD,61,9986.1,84.03,12.51,3.45,70.05,13.53,16.41,0.38,0.38,4.93,6.85,0.64,0.22,3.45,5.13,2.2,15.41,4.93,20.54,0.43,0.75,0.06,2.13,0.15,15.26,43,0,24,15,0,18,85,0,0,11,0,4,SM,SM
S21_015,28,175,28,11.0979827,one,alfs,aqu,Alb,Typic,Decomposition Residuum,PD,10,4068.02,91.71,5.36,2.97,52.94,14.06,33.01,0.39,0.41,5.16,5.92,0.28,0.14,2.97,7.94,2.08,30.83,8.09,38.77,0.5,0.75,0.06,2.02,0.24,30.61,40,0,14,22,0,24,68,0,8,20,0,5,SM,SM
S22_004,68,34,68,4.089001905,one,ults,aqu,Endo,Arenic,Solution Residuum,PD,13,23972.75,95.47,2.21,2.31,88.18,2.36,9.46,0.44,0.39,5.83,4.34,0.74,0.25,2.31,6.18,3.04,8.15,6.7,14.34,0.51,0.56,0.33,2.71,0.22,7.93,72,0,14,5,0,9,85,0,8,2,0,5,SM,SM
S24_009,23,180,23,2.267424245,one,alfs,aqu,Umbr,Typic,Solution Residuum,PD,23,13372.66,76.5,12.5,11,69.48,5.58,24.94,0.47,0.38,4.7,4.94,1.82,1.06,11,11.85,1.65,10.28,11.64,22.14,0.14,0.46,0.15,1.5,0.53,9.74,62,0,17,8,0,13,81,0,10,5,0,5,SM,SM
S25_016,33,170,33,4.212022751,one,alfs,aqu,Endo,Typic,Marine Deposits,PD,0,5191.14,92.72,4.05,3.38,80.81,4.93,14.26,0.48,0.38,5.66,8.04,1.4,0.27,3.38,4.11,2.92,18.05,6.29,22.16,0.44,0.81,0.1,2.82,0.21,17.84,95,0,0,3,0,2,95,0,0,2,0,3,SM,SM
S26_007,38,66,38,11.25344352,one,alfs,aqu,Endo,Arenic,Alluvium,PD,8,30771.63,97.32,1.99,0.69,88.63,2.76,8.61,0.47,0.42,6.55,6.64,0.34,0.16,0.7,3.06,2.02,8.11,2.63,11.17,0.67,0.73,0.03,1.99,0.07,8.04,79,0,12,4,0,5,93,0,0,2,0,5,SM,SM
S26_012,33,140,33,1.358007456,two,olls,aqu,Argi,Typic,Marine Deposits,VPD,0,58576.84,72.82,10.74,16.37,68.77,8.99,22.23,0.51,0.4,7.76,8.27,1.91,0.08,16.37,6.39,25.69,34.21,33.41,40.61,0.77,0.84,0.28,25.4,0.36,33.85,97,0,0,1,0,2,97,0,0,1,0,2,SM,SM
S26_013,66,18,66,11.90035587,one,ods,aqu,Al,Alfic,Alluvium,PD,28,33552.7,97.82,0.9,1.28,82.2,2.6,15.2,0.46,0.39,6.88,6.6,0.65,0.51,1.28,3.32,3.28,10.37,4.37,13.69,0.61,0.76,0.02,3.26,0.05,10.32,47,0,21,11,0,22,65,0,18,14,0,3,SM,SM
S28_012,36,167,36,11.71387794,one,alfs,aqu,Endo,Typic,Marine Deposits,PD,10,9690.92,97.08,1.84,1.07,80.27,7.17,12.56,0.5,0.4,5.2,7.99,0.7,0.11,1.07,3.36,2.04,31.6,3.82,34.96,0.52,0.9,0.23,1.81,1.58,29.99,88,0,0,2,0,10,94,0,0,3,0,4,SM,SM
S28_016,43,150,53,6.41402159,one,alfs,aqu,Endo,Arenic,Marine Deposits,VPD,0,9333.69,93.77,3.93,2.3,81.48,3.78,14.74,0.52,0.35,3.71,3.7,1.89,0.21,2.3,4.81,1.48,10.22,10.36,15.03,0.2,0.68,0.19,1.29,0.34,9.88,78,0,0,7,0,15,94,0,0,3,0,3,SM,SM
S28_020,46,45,46,1.173190985,two,olls,aqu,Argi,Typic,Paludal Deposits,VPD,0,8078.55,72.91,8.77,18.33,72.7,5.8,21.5,0.5,0.49,5.2,6.5,2.37,0.07,18.33,7.09,15.23,20.74,27.25,27.83,0.59,0.75,0.19,15.04,0.13,20.61,98,0,0,0,0,2,97,0,0,1,0,2,SM,SM
