ID,Zloss,Zgain,Zlessivage,I/E Ratio,Criteria,Soil Order,Suborder,Great Group,Subgroup,Deposit Material ,Drainage Class,Depth to Gleying ,Distance to RSF,E_Sand,E_Silt,E_Clay,I_Sand,I_Silt,I_Clay,E_Porosity,I_Porosity,E_pHw,I_pHw,E_pHKCL,I_pHKCL,E_OC,I_OC,E_EA,I_EA,E_TEB,I_TEB,E_CEC,I_CEC,E_BS,I_BS,E_SM,E_MI,E_HV,E_KA,E_GI,E_QZ,I_SM,I_MI,I_HV,I_KA,I_GI,I_QZ,E_DOMMIN,I_DOMMIN
S40_013,20,183,20,5.219416861,one,ults,ud,Kandi,Typic,Decomposition Residuum,WD,162,25207.5647,84.45,8.7,6.85,57.88524596,6.361748642,35.7530055,0.39,0.35371,5.3,4.9968,4.525,4.7451,0.7375,0.12534,6.85,5.69432,1.7875,1.77515,7.31,7.46947,0.243,0.229754,0,0,24,71,0,5,0,0,5,92,0,3,KA,KA
S40_014,5,198,5,3.699888499,two,ults,ud,Kandi,Typic,Decomposition Residuum,WD,250,21380.50599,74.9,9.7,15.4,36.47171721,6.550000008,56.97828288,0.43,0.43934,5.7,4.2755,4.9,4.084,1.4,0.15691,15.4,9.6784,3.93,1.19865,10.79,10.87705,0.364,0.103987,0,0,20,73,0,7,0,0,9,87,0,4,KA,KA
S40_015,213,92,213,3.935788186,one,epts,ud,Dystr,Humic,Solution Residuum,WD,250,5790.553436,86.05586854,7.265727699,6.678403758,67.54782609,6.167391304,26.28478261,0.39757,0.34956,4.8532,4.824,4.4697,4.6489,0.3398,0.08412,6.677,4.52727,0.63512,2.57381,3.73335,7.10108,0.1916,0.357183,0,0,24,46,0,30,0,0,22,73,0,5,KA,KA
S40_018,132,71,132,6.505960098,one,ults,aqu,Pale,Grossarenic,Solution Residuum,PD,18,239.3495845,90.80378788,6.593181818,2.603030302,77.94929585,5.115492963,16.93521128,0.34464,0.34451,5.294,5.0308,4.3662,3.9549,0.4965,0.08239,2.6024,19.07804,0.21266,0.79505,3.79336,19.87309,0.06887,0.091862,0,0,43,38,0,19,7,0,32,53,0,9,MIXED,KA
S40_019,61,142,61,5.78869554,one,ults,aqu,Pale,Arenic,Solution Residuum,PD,18,195.6722566,87.7737704,5.649180322,6.577049174,57.19154929,4.735915494,38.07253522,0.37918,0.38836,5,4.9317,4.8165,3.6092,0.78973,0.14358,6.577,9.79087,0.26799,0.76252,6.60311,10.55339,0.033522,0.069427,0,0,43,44,13,0,0,0,10,88,0,3,MIXED,KA
S40_020,74,129,74,6.536597545,one,ults,ud,Pale,Aquic,Solution Residuum,SPD,48,2763.996238,88.23243252,7.281081089,4.486486492,60.30310078,10.37054263,29.32635659,0.40121,0.33726,5.0158,4.9284,4.3436,3.9387,0.25466,0.06435,4.4917,9.40065,0.21708,0.65025,3.29983,10.0509,0.070868,0.066702,0,0,30,60,0,11,0,0,12,67,0,21,KA,KA
S40_021,94,109,99,2.183155633,one,ults,aqu,Pale,Umbric,Solution Residuum,VPD,0,118.8015658,85.39680851,9.053191489,5.549999999,82.62018349,5.263302752,12.11651376,0.4105,0.32128,5.3496,4.8128,4.4465,4.1,1.25077,0.0988,5.5549,6.46752,0.50795,0.25016,8.73153,6.71768,0.053042,0.03812,0,0,29,64,0,7,0,0,33,59,0,8,KA,KA
S40_022,76,127,76,6.351209305,one,ults,ud,Kandi,Arenic,Decomposition Residuum,WD,117,6560.725244,88.75394737,6.323684211,4.922368421,62.12125985,6.615748031,31.26299212,0.42182,0.371,5.8409,4.3996,4.5197,4.0818,0.40805,0.12572,4.9227,7.1753,0.75169,0.92052,3.81635,8.09582,0.200666,0.123704,0,0,32,61,0,7,0,0,20,78,0,2,KA,KA
S40_025,56,86,56,3.659788185,one,ults,ud,Hapl,Arenic,Alluvium,WD,175,8076.556052,82.275,12.4,5.325,70.37674419,10.13488372,19.48837209,0.45969,0.39486,5.3963,4.8277,4.6784,4.4115,0.71942,0.15306,5.3247,5.71058,0.88596,1.00747,4.67682,6.71805,0.196186,0.152119,0,0,37,51,0,12,0,0,29,64,0,7,KA,KA
S40_027,175,28,175,5.467831344,one,ults,ud,Pale,Grossarenic,Solution Residuum,MWD,135,1667.447446,92.18228571,4.416000001,3.401714287,77.9,3.5,18.6,0.43982,0.35,5.0629,4.8,4.7487,4.5,0.89315,0.26,3.4027,4.49,0.26183,0.97,3.08887,5.46,0.094773,0.178,32,0,0,42,0,26,23,0,0,67,0,10,KA,KA
S43_001,81,122,81,11.40307376,one,ods,aqu,Al,Alfic,Marine Deposits,PD,30,1925.583189,98.50617284,0.604938271,0.888888889,86.93267327,1.53069307,11.53663366,0.376,0.33664,5.908,5.2404,4.266,3.8562,0.2807,0.78353,0.889,9.008,0.1154,2.83837,1.7149,11.84637,0.06554,0.266132,0,0,0,14,0,86,41,0,3,21,0,35,QZ,MIXED
S43_005,91,61,91,17.964104,one,alfs,aqu,Gloss,Arenic,Marine Deposits,PD,13,1182.416269,98.47802208,0.62967033,0.892307693,82.40163934,1.568852459,16.0295082,0.38951,0.33656,6.7925,5.6216,5.6309,4.2592,0.13398,0.1144,0.8932,4.70216,0.10835,6.61416,0.68618,11.31632,0.276881,0.58504,0,0,0,0,0,100,35,0,22,30,0,14,QZ,MIXED
S43_006,10,152,12,2.76917293,one,alfs,aqu,Endo,Umbric,Marine Deposits,VPD,12,1586.82138,62.9,30.1,7,70.65723677,9.958552623,19.38421051,0.71,0.47274,5.1,6.805,4.1,5.9311,7.08,1.76936,7,10.09613,17.53,23.47254,52.05,33.56867,0.337,0.709549,94,0,0,2,0,4,67,0,0,19,0,14,SM,SM
S43_016,64,17,64,13.17912553,one,olls,aqu,Endo,Arenic,Eolian,PD,20,3280.091048,97.6515625,1.240625,1.1078125,81.9,3.5,14.6,0.41629,0.41,7.992,8.6,7.4754,7.4,0.28179,0.08,1.1066,3.37,1.8461,19.76,2.47185,23.13,0.680391,0.854,40,0,0,10,0,50,65,0,0,4,0,31,QZ,SM
S43_017,33,99,33,4.569963361,one,alfs,aqu,Endo,Arenic,Eolian,PD,13,3195.207932,96.89393949,1.727272729,1.378787881,90.121875,2.428125,7.45,0.48529,0.40263,6.3374,8.5152,5.2729,7.9155,0.75585,0.18363,1.3807,0.93339,4.01318,17.59773,6.41495,18.53112,0.457551,0.947126,61,0,0,10,0,29,70,0,0,7,0,24,SM,SM
S43_018,91,51,91,14.75032678,one,alfs,aqu,Gloss,Arenic,Eolian,PD,10,6616.251473,98.20769241,1.149450551,0.642857144,88.92745098,1.590196078,9.482352939,0.42801,0.39,6.9608,6.9092,5.973,6.1638,0.18623,0.16082,0.6435,3.08228,0.44913,8.15726,1.21704,11.23954,0.406593,0.747214,32,0,0,15,0,53,76,0,0,11,0,14,QZ,SM
S43_020,30,173,30,9.554190771,one,alfs,aqu,Endo,Typic,Marine Deposits,PD,0,1564.080813,94.89999991,3.499999997,1.599999998,78.3219654,6.391329479,15.28670522,0.50949,0.37665,6.4935,8.6777,5.7942,7.4287,1.55178,0.33722,1.5984,2.60077,4.51215,27.39556,7.17282,29.99633,0.637362,0.913515,41,0,0,10,0,49,57,0,0,15,0,27,MIXED,SM
S43_021,107,55,107,21.47320411,one,alfs,aqu,Endo,Grossarenic,Marine Deposits,PD,13,1079.675793,96.09906542,3.081308411,0.819626168,79.3,3.1,17.6,0.38417,0.31,6.8436,6.8,6.3609,5.7,0.13644,0.18,0.8187,2.55,0.37519,6.84,0.68411,9.39,0.678782,0.728,12,0,0,29,0,60,0,0,0,63,0,37,QZ,KA
S43_024,86,112,91,13.8056507,one,ods,aqu,Al,Alfic,Marine Deposits,PD,0,261.7443044,95.91860475,2.893023259,1.188372093,79.39732151,4.196428576,16.40625002,0.39489,0.31912,4.8265,6.5554,3.8966,6.2285,1.218,0.90369,1.1887,4.29183,1.07403,10.69073,3.555,14.98256,0.296604,0.681359,20,0,0,18,0,62,52,0,16,22,0,10,QZ,SM
S43_027,81,112,81,2.574915054,one,alfs,aqu,Endo,Arenic,Marine Deposits,PD,15,1777.309026,92.31481481,2.961728396,4.723456792,83.16875,4.66875,12.1625,0.4122,0.33792,8.0248,7.8874,7.6754,7.2627,0.39712,0.22882,4.7226,1.39854,11.4538,15.87473,11.70436,17.27327,0.972298,0.913497,82,0,0,7,0,11,91,0,0,5,0,4,SM,SM
S43_028,74,58,74,5.488690155,one,alfs,aqu,Endo,Arenic,Marine Deposits,PD,0,1635.903847,94.26486496,3.166216221,2.568918923,82.2,3.7,14.1,0.45712,0.35,4.3608,3.7,3.7467,3.2,1.16865,0.18,2.5725,3.75,1.15352,5.65,3.33889,9.4,0.460359,0.601,82,0,0,9,0,9,88,0,0,4,0,8,SM,SM
S45_007,127,76,127,10.23849094,one,ults,ud,Pale,Aquic,Marine Deposits,SPD,43,2553.622387,91.17874016,6.923622047,1.897637795,77.95921053,2.611842105,19.42894737,0.43083,0.38961,5.1925,4.3745,4.8308,4.1353,0.28711,0.12354,1.8955,8.3391,0.18003,1.05374,2.4737,9.39284,0.077439,0.111734,8,0,40,37,0,16,11,0,23,57,0,10,MIXED,KA
S45_013,89,7,89,7.203237409,one,ods,orth,Al,Aquic,Marine Deposits,MWD,70,340.8470933,98.28089888,1.094382022,0.624719101,93.1,2.4,4.5,0.48615,0.49,4.5221,4.1,3.5906,3.7,0.74971,1.92,0.6249,20.99,0.3912,0.29,3.70007,21.28,0.080032,0.014,33,0,25,10,0,32,17,0,53,10,0,20,MIXED,HV
S45_021,53,150,53,15.3806,one,ods,aqu,Al,Ultic,Marine Deposits,PD,25,11595.2974,95.37358491,3.683018868,0.943396227,81.204,4.285999999,14.51,0.49416,0.43499,4.2546,4.36,3.6546,4.2887,1.74495,0.84162,0.9434,12.46496,1.71132,0.34964,9.25502,12.8146,0.119625,0.037405,0,0,11,14,0,75,5,0,21,55,0,19,QZ,KA
S45_023,86,117,86,9.69228888,one,ults,ud,Pale,Aquic,Alluvium,SPD,51,12592.20167,92.56976744,5.31744186,2.112790697,75.91623931,3.605982905,20.47777778,0.43429,0.36642,4.9966,4.6718,4.3944,3.9426,0.28645,0.10828,2.113,8.20984,0.16723,0.61506,2.59692,8.8249,0.064219,0.069038,13,0,40,31,0,16,0,0,15,72,0,14,MIXED,KA
S45_024,84,119,84,22.62384361,one,alfs,aqu,Endo,Arenic,Marine Deposits,PD,0,13850.1006,90.98452381,7.811904762,1.203571428,64.81764706,7.952941177,27.22941177,0.4363,0.42294,4.6358,4.6294,3.9084,3.0764,0.445,0.09118,1.2034,12.8112,0.20702,10.7399,3.24592,23.5511,0.096544,0.451356,24,0,19,24,0,33,69,0,6,19,0,7,QZ,SM
S45_025,112,91,112,21.16420117,one,alfs,aqu,Endo,Grossarenic,Marine Deposits,PD,0,13816.64591,90.79285714,7.721428571,1.485714287,59.72857143,8.827472527,31.44395604,0.46149,0.43365,4.7637,4.5,3.8424,2.9473,0.64984,0.09946,1.4865,13.50402,0.17325,10.04426,4.18146,23.54828,0.067276,0.424972,28,0,18,20,0,34,70,0,0,20,0,10,MIXED,SM
S45_027,46,33,46,4.803030303,one,ods,aqu,Al,Aeric,Marine Deposits,PD,18,1005.086432,95.67391304,3.526086957,0.8,90.30588235,5.65490196,4.039215686,0.49256,0.47848,3.3173,3.6516,3.5699,4.3152,0.47235,1.30952,0.8,12.97948,0.2673,0.14332,2.40794,13.1228,0.316901,0.010788,0,0,0,0,0,100,0,0,32,10,0,58,QZ,QZ
S45_032,124,79,124,13.66343645,one,alfs,ud,Pale,Grossarenic,Marine Deposits,MWD,137,4091.374148,92.81612903,5.188709677,1.99516129,67.16075949,5.578481013,27.26075949,0.47484,0.38088,5.5904,5.0938,5.5235,4.3158,0.26236,0.10605,1.9958,5.40594,0.9037,3.94308,2.09975,9.3551,0.399376,0.424972,11,0,32,40,0,17,8,0,33,48,0,11,MIXED,KA
S46_006,76,127,76,2.025228253,one,ults,ud,Kanhapl,Typic,Decomposition Residuum,WD,250,9571.864506,79.75921053,10.475,9.765789473,71.77480315,8.447244094,19.77795276,0.41001,0.39016,5.5931,5.3992,4.292,4.8472,0.3951,0.10024,9.7668,3.62712,0.59083,0.53584,4.52972,4.16296,0.111748,0.129952,5,0,31,12,47,7,0,0,19,11,65,5,GI,GI
S46_007,13,190,13,2.140463546,one,ults,ud,Kandi,Typic,Decomposition Residuum,WD,250,12666.82652,74.5,14.6,10.9,64.86947375,11.7994737,23.33105266,0.43,0.36786,5.3,5.1605,4.1,4.3652,1.14,0.11469,10.9,4.3669,1.42,0.64659,9.21,5.01349,0.154,0.133175,0,0,38,15,42,5,0,0,28,16,55,2,MIXED,GI
S46_008,25,178,25,1.517992261,two,ults,ud,Pale,Plinthic,Decomposition Residuum,WD,109,9423.846953,57.72,25.5,16.78,55.33483152,19.19325845,25.47191014,0.432,0.38005,4.82,5.2778,3.92,4.6428,1.678,0.12112,16.78,4.60711,0.416,0.275,14.546,4.88211,0.0298,0.057193,0,0,40,14,40,6,0,0,21,20,57,3,MIXED,GI
S46_009,122,81,122,4.705350938,one,ults,ud,Kandi,Grossarenic,Decomposition Residuum,WD,250,7694.848415,86.3295082,8.952459016,4.718032787,70.6,7.2,22.2,0.37664,0.37,5.8369,5.5,4.9861,5,0.17713,0.12,4.7182,3.42,0.71974,0.73,2.65142,4.15,0.287315,0.176,0,0,38,14,39,9,0,0,24,16,56,4,MIXED,GI
S46_012,58,145,58,2.145491803,one,epts,ud,Dystr,Fluvaquentic,Alluvium,SPD,46,552.3388184,70.59310345,24.35862069,5.048275862,64.78344827,24.38551724,10.83103448,0.48931,0.34628,4.5103,4.5613,4.1275,3.8979,0.82952,0.12031,5.0483,2.46013,0.11587,0.12178,6.25108,2.58191,0.02307,0.0522,11,0,32,44,0,13,9,0,25,61,0,5,KA,KA
S46_015,33,170,33,3.693838156,one,ults,ud,Pale,Aquic,Decomposition Residuum,MWD,91,26169.71701,50.66969697,42.50606061,6.824242424,44.5917647,30.20058824,25.20764705,0.47576,0.37807,4.7606,4.9447,4.1818,4.0052,1.27552,0.17135,6.8244,7.66335,0.4264,0.8321,8.46706,8.49545,0.050124,0.095087,8,0,43,30,0,19,7,0,25,52,0,16,HV,KA
S46_016,56,147,56,7.153667302,one,ults,ud,Kandi,Arenic,Decomposition Residuum,WD,150,26203.17115,81.87857143,15.30535714,2.816071429,70.11904762,9.744897957,20.1452381,0.44088,0.3676,4.8304,4.9599,4.7608,4.298,0.44152,0.07415,2.816,4.50262,0.21696,0.36358,2.066,4.8662,0.130264,0.075141,0,0,36,50,0,14,0,0,25,69,0,7,KA,KA
S46_017,13,190,13,1.94732528,one,ults,ud,Pale,Plinthic,Decomposition Residuum,MWD,147,20997.5905,57,30.8,12.2,49.28947369,26.9531579,23.75736842,0.51,0.38704,4.3,4.8333,3.9,4.2861,2.63,0.13796,12.2,5.12093,0.73,0.30093,16.03,5.42186,0.046,0.055461,8,0,48,27,9,8,3,0,31,49,10,7,HV,KA
S46_018,76,127,76,2.225105048,one,ults,ud,Pale,Arenic,Decomposition Residuum,SPD,76,27625.14641,80.27894737,10.91710526,8.780263157,72.9511811,7.511811024,19.53700787,0.43821,0.40907,4.2265,4.3135,4.3487,4.0999,0.84743,0.05605,8.7798,7.06262,0.09,0.98422,7.32024,8.04684,0.014705,0.114835,0,0,54,32,0,14,0,0,25,55,0,21,HV,KA
S46_019,33,119,33,3.870052859,one,ults,ud,Pale,Plinthaquic,Decomposition Residuum,MWD,76,25187.32395,87.89090909,7.599999999,4.50909091,76.17226891,6.377310925,17.45042017,0.4573,0.39482,3.9635,4.4703,4.136,4.1832,1.4289,0.08371,4.5095,5.89839,0.0873,0.28671,8.1411,6.1851,0.010545,0.044127,0,0,52,32,0,16,0,0,31,55,0,14,HV,KA
S46_020,112,91,112,4.021360545,one,ults,ud,Pale,Grossarenic,Decomposition Residuum,WD,112,9225.446966,85.79285723,9.281250009,4.925892862,73.87472528,6.316483516,19.80879121,0.36947,0.32418,5.1375,5.1418,4.6,5.3074,0.18215,0.09836,4.9253,3.28058,0.643,0.7027,2.73944,3.98328,0.221448,0.176302,0,0,45,33,6,16,0,0,28,56,9,8,HV,KA
S46_022,30,173,30,5.046440392,one,ults,ud,Kandi,Plinthic,Decomposition Residuum,WD,160,12218.1509,80.75666667,14.56333333,4.68,63.73930636,12.6433526,23.61734104,0.37196,0.35528,5.2268,5.3338,4.4268,4.8868,0.47949,0.40273,4.6804,4.1366,0.28969,0.37019,3.75909,4.50679,0.083051,0.075479,0,0,43,25,5,27,0,0,25,51,8,16,HV,KA
S49_016,61,243,61,19.83394627,one,ods,aqu,Al,Alfic,Marine Deposits,PD,25,13245.25529,93.94918023,4.972131143,1.078688523,76.75267489,1.852674895,21.39465022,0.47148,0.36209,5.1209,8.0596,3.8471,6.8933,2.10799,0.24873,1.0788,2.6495,1.7603,6.5066,8.4697,9.1561,0.300091,0.707627,14,0,13,4,0,69,18,0,37,38,0,7,QZ,MIXED
S49_028,89,35,89,5.666455494,one,alfs,aqu,Endo,Grossarenic,Marine Deposits,PD,18,23610.14249,96.98876404,1.997752809,1.013483146,90,2.8,7.2,0.40606,0.39287,6.46,5.5139,4.7206,4.6142,0.13034,0.22991,1.0132,3.0988,0.09226,1.00701,0.72866,4.10581,0.131092,0.272634,0,0,18,9,0,73,0,0,6,87,0,7,QZ,KA
S49_029,36,10,36,7.142857143,one,ods,aqu,Al,Aeric,Marine Deposits,PD,18,14001.84088,95.16111111,4.13888889,0.7,88.62105254,7.042105256,4.336842101,0.45444,0.475,5.0444,4.8,3.4222,3.9,0.94808,2.635,0.7,24.4,0.75138,0.405,4.73018,24.805,0.148342,0.017,0,0,13,4,0,83,0,0,6,5,0,89,QZ,QZ
S49_030,109,94,109,13.96264691,one,ods,aqu,Al,Alfic,Marine Deposits,SPD,28,23702.53326,97.10458716,1.870642202,1.024770642,82.45851064,3.232978722,14.30851064,0.44738,0.38995,5.2236,5.3348,3.7172,3.9404,0.3848,0.69233,1.0254,10.9171,0.11595,2.76762,2.05925,13.68472,0.097773,0.224862,0,0,2,10,0,88,27,0,1,23,0,49,QZ,QZ
S49_034,64,30,64,4.875846501,one,ults,aqu,Umbr,Arenic,Marine Deposits,VPD,0,17355.97152,93.61875,3.6125,2.76875,81.8,4.7,13.5,0.52932,0.41,5.9808,7.5,5.0299,6.3,1.25606,0.31,2.7721,3.5,2.07808,8.31,7.48528,11.81,0.417033,0.704,0,0,23,23,0,54,80,0,13,4,0,3,QZ,SM
S50_013,81,15,81,12.03968873,one,ods,aqu,Al,Alfic,Marine Deposits,PD,0,33503.21136,96.5617283,1.85185185,1.586419752,78.9,2,19.1,0.43416,0.45,4.4187,6.3,3.8034,5.5,0.98868,2.1,1.5861,7.4,2.25,18.5,6.2286,25.9,0.252975,0.714,5,0,6,4,0,85,0,0,62,31,0,8,QZ,HV
S50_031,76,76,76,6.800167225,one,alfs,aqu,Endo,Arenic,Marine Deposits,VPD,0,33007.63774,97.07631579,1.35,1.57368421,88.94868421,0.35,10.70131579,0.3979,0.39778,5.5815,5.4406,4.542,4.3736,0.6202,0.43198,1.574,3.3834,0.716,4.424,2.564,7.8074,0.291805,0.57782,40,0,27,9,0,24,86,0,0,14,0,0,SM,SM
S50_032,107,45,107,17.89891561,one,alfs,aqu,Endo,Grossarenic,Paludal Deposits,PD,10,29129.91411,98.40093458,0.938317757,0.660747664,87.45333333,0.72,11.82666667,0.42035,0.38466,6.2902,5.4864,5.1268,4.1864,0.16428,0.25544,0.6603,3.1481,0.2417,4.3403,0.54654,7.4884,0.529207,0.61059,6,0,6,2,0,86,49,0,0,48,0,3,QZ,MIXED
S51_002,58,145,58,9.0742857,one,ods,aqu,Al,Alfic,Marine Deposits,PD,15,13516.9401,94.56034483,3.810344827,1.629310347,76.90656942,7.643795628,15.44963505,0.45851,0.37478,5.2167,7.9697,4.1753,6.8928,1.4206,0.15663,1.6312,1.79006,1.05563,15.14724,5.98158,16.9373,0.419971,0.869888,0,0,0,0,0,100,20,0,14,45,0,21,QZ,KA
S51_008,43,10,43,2.314142681,one,ods,aqu,Al,Ultic,Marine Deposits,PD,28,15238.71995,96.27674409,1.865116277,1.858139533,83.8967033,3.406593407,12.6967033,0.48839,0.44,5.6698,4.7,4.6698,3.8,0.84041,2.17,1.8584,13.26,2.1313,0.52,4.08051,13.78,0.442242,0.038,0,0,0,11,0,89,0,0,10,7,0,83,QZ,QZ
S51_011,109,94,109,25.97757065,one,ods,aqu,Al,Alfic,Marine Deposits,PD,0,11655.67173,94.73669715,3.891743115,1.371559632,58.94893617,5.421276596,35.62978724,0.41161,0.40616,4.882,5.2298,4.2124,3.8,0.67441,0.16232,1.3716,8.95386,0.12083,7.9519,4.11156,16.90576,0.018968,0.470224,0,0,0,0,0,100,19,0,7,65,0,10,QZ,KA
S51_012,109,94,109,14.48667205,one,ults,ud,Pale,Grossarenic,Decomposition Residuum,SPD,122,327.215142,95.7,2.10825688,2.19174312,64.45638291,3.792553187,31.7510638,0.42258,0.35468,5.9134,4.8138,4.7743,4.0436,0.31555,0.12998,2.1883,4.9712,0.58065,1.173,2.65142,6.1442,0.17875,0.190316,0,0,40,50,0,10,0,0,13,82,5,0,KA,KA
S51_017,23,203,23,7.682454166,one,alfs,ud,Hapl,Albaquic,Decomposition Residuum,SPD,38,6100.972126,89.2826087,5.652173913,5.065217391,50.71822656,10.3684729,38.91330045,0.42652,0.43441,5.9,5.3261,4.4304,3.59,1.8802,0.22665,5.0648,15.41693,5.43488,10.29111,12.8648,25.70804,0.422432,0.399559,0,0,33,30,0,37,55,0,0,31,0,14,MIXED,SM
S51_018,66,178,66,9.006855001,one,ults,ud,Pale,Aquic,Decomposition Residuum,SPD,79,5306.015216,89.82727264,6.119696964,4.053030299,56.4887641,7.006179782,36.50505622,0.43184,0.3964,6.047,5.5033,4.5893,3.817,0.0336,0.02002,4.0487,10.20274,1.26288,4.70176,4.2064,14.9045,0.291605,0.303598,0,0,38,30,0,32,9,0,13,63,0,15,MIXED,KA
S51_023,33,8,33,3.422872342,one,ods,aqu,Al,Aeric,Marine Deposits,PD,25,10550.38111,94.6,4.260606061,1.139393939,93.1,3,3.9,0.48844,0.52,4.4728,4.7,3.0938,3.8,1.53572,1.76,1.1388,13.81,0.64694,0.15,10.36286,13.96,0.051704,0.011,36,0,12,14,0,38,0,0,25,10,11,54,MIXED,QZ
S51_030,43,15,43,13.42196533,one,alfs,ud,Hapl,Aquic,Marine Deposits,SPD,43,584.2830904,96.40930233,2.38372093,1.206976743,78.6,5.2,16.2,0.4274,0.44,5.0768,7,4.6489,6.9,0.7151,0.65,1.2063,2.81,0.64387,2.88,2.45832,5.69,0.311417,0.506,13,0,54,14,0,20,0,0,30,16,0,54,HV,QZ
S51_032,81,10,81,8.14889336,one,ods,orth,Al,Aquic,Marine Deposits,MWD,60,7760.891682,98.06419753,1.322222222,0.613580247,92.6,2.4,5,0.4268,0.45,5.0619,4.7,3.9148,3.8,0.25127,1.4,0.6138,15.4,0.17959,0.23,13.24679,15.63,0.070853,0.015,0,0,77,0,0,23,0,0,52,0,0,48,HV,MIXED
S53_002,53,13,53,6.394431554,one,ods,aqu,Al,Ultic,Marine Deposits,PD,30,3735.128106,94.00188679,5.18490566,0.813207547,78.1893617,6.678723404,15.1319149,0.46962,0.48,5.0189,4.4,3.6151,3.6,0.76147,2.61,0.8132,24.32,1.03371,0.86,4.21767,25.18,0.208773,0.034,0,0,0,0,0,100,0,0,16,15,13,53,QZ,QZ
S53_003,53,150,53,33.24132631,one,ods,aqu,Hapl,Ultic,Marine Deposits,PD,28,3545.266693,93.56037736,5.367924529,1.071698114,57.74306568,3.536496349,38.72043797,0.44032,0.4121,5.7301,5.1359,4.462,3.7699,0.8479,0.41994,1.0711,9.00849,2.94002,1.53862,4.89654,10.54711,0.371531,0.154297,0,0,5,6,0,89,0,0,0,100,0,0,QZ,KA
S53_005,145,58,145,15.93665509,one,ults,ud,Pale,Aquic,Decomposition Residuum,SPD,96,168.6259184,95.18206887,3.03241379,1.78551724,68.45172414,3.093103449,28.45517241,0.43634,0.35605,5.7648,5.119,4.4999,3.9397,0.29141,0.13213,1.7854,4.45089,0.28894,0.57051,2.25701,5.0214,0.103027,0.114594,0,0,31,43,0,26,0,0,3,97,0,0,KA,KA
S53_007,206,48,206,1.817917784,one,epts,ud,Dystr,Humic,Marine Deposits,WD,206,16895.16602,89.80970874,5.834951456,4.345631068,88.5,3.6,7.9,0.44507,0.38,4.7925,4.9,4.3523,4.2,0.5653,0.06,4.3456,1.84,0.45734,0.84,8.22437,2.68,0.050152,0.313,0,0,46,26,0,28,0,0,18,82,0,0,HV,KA
S53_012,89,114,89,15.75190028,one,ods,aqu,Al,Alfic,Marine Deposits,PD,25,3665.64061,94.13932584,4.766292135,1.094382023,76.74210526,6.019298246,17.23859649,0.3837,0.33591,6.5796,5.2787,5.1705,4.1156,0.46811,0.1612,1.0946,5.64446,2.1463,9.74423,4.99474,15.38869,0.482797,0.640054,22,0,8,11,0,60,83,0,0,13,0,4,QZ,SM
S53_015,46,157,46,32.5649212,one,ods,aqu,Al,Alfic,Decomposition Residuum,PD,25,7442.531557,95.68695652,3.252173914,1.060869565,61.77006375,3.68280255,34.5471338,0.39045,0.39346,4.926,4.9874,4.113,4.318,0.97305,0.33465,1.061,10.71782,1.42065,4.96086,8.9375,15.67868,0.10617,0.354454,0,0,14,19,0,67,7,0,19,57,0,17,QZ,KA
S53_016,64,27,64,8.748821549,one,ods,aqu,Al,Aeric,Marine Deposits,PD,25,5455.255242,98.003125,1.48125,0.515625,92.9,2.588888889,4.511111111,0.43124,0.4522,4.7157,4.4556,4.0157,4.1112,0.44844,1.36732,0.5157,16.51576,0.48026,0.29096,2.49906,16.80672,0.129844,0.015772,29,0,0,12,0,59,14,0,31,26,0,29,QZ,MIXED
S53_020,160,43,160,14.6726831,one,ults,ud,Pale,Aquic,Marine Deposits,MWD,96,3448.27557,96.314375,2.429375,1.25625,77.50697674,4.060465116,18.43255814,0.4067,0.38698,5.2418,4.3604,4.9306,4.0302,0.18568,0.08302,1.2564,11.27774,0.42092,0.91886,5.27532,12.1966,0.062866,0.07551,15,0,37,25,0,23,11,0,17,61,0,11,HV,KA
S53_024,48,8,48,3.926657263,one,ods,orth,Al,Aquic,Marine Deposits,SPD,76,7033.710267,96.40208333,2.120833334,1.477083334,87.4235955,5.684269664,6.892134832,0.43522,0.46,3.6291,4.5,3.5103,4.1,1.50825,1.98,1.477,29.02,1.01675,1.01,10.78436,30.03,0.078173,0.034,0,0,0,0,0,100,17,0,16,10,0,57,QZ,QZ
S54_005,51,7,51,3.68231047,one,ods,aqu,Al,Alfic,Marine Deposits,PD,25,6828.30583,89.65098039,9.262745098,1.08627451,78.33592241,8.07281554,13.59126215,0.47626,0.49,4.553,4.5,3.4648,3.7,1.3,3.49,1.086,21.64,0.7676,0.55,5.9135,22.19,0.121996,0.025,0,0,0,0,0,100,13,0,33,9,0,45,QZ,QZ
S54_006,140,63,140,8.206827738,one,alfs,aqu,Endo,Grossarenic,Marine Deposits,PD,15,6371.400183,91.19071429,6.582142857,2.227142857,74.30000001,7.422222223,18.27777777,0.43814,0.41444,5.5418,5.7444,4.7544,5.0556,0.45309,0.19336,2.2265,5.5384,1.32553,10.71456,3.02776,16.25296,0.388822,0.658664,38,0,27,20,0,15,84,0,0,12,0,4,SM,SM
