ID,Zloss,Zgain,Zlessivage,I/E Ratio,Criteria,Soil Order,Suborder,Great Group,Subgroup,Deposit Material ,Drainage Class,Depth to Gleying ,Distance to RSF,E_Sand,E_Silt,E_Clay,I_Sand,I_Silt,I_Clay,E_Porosity,I_Porosity,E_pHw,I_pHw,E_pHKCL,I_pHKCL,E_OC,I_OC,E_EA,I_EA,E_TEB,I_TEB,E_CEC,I_CEC,E_BS,I_BS,E_SM,E_MI,E_HV,E_KA,E_GI,E_QZ,I_SM,I_MI,I_HV,I_KA,I_GI,I_QZ,E_DOMMIN,I_DOMMIN
S34_002,130,73,130,9.35124945,one,ults,ud,Pale,Aquic,Solution Residuum,SPD,79,11192.37844,94.99307692,3.15076923,1.841230769,74.28493151,8.497260275,17.21780822,0.4494,0.37,5.5885,5.4042,4.2492,4.1,0.30681,0.15748,1.84137,12.54914,0.13658,0.97495,6.87695,13.52409,0.021789,0.085831,21,0,32,17,0,30,8,0,28,48,0,18,MIXED,KA
S34_004,48,38,48,1.862262038,one,ods,aqu,Al,Typic,Solution Residuum,PD,0,9196.199868,89.84375,7.875,2.35,90.9,4.5,4.6,0.6068,0.42,4.1856,4.7023,2.6153,3.1129,4.47519,1.26747,2.3519,13.26936,1.17837,0.1453,30.36794,13.41466,0.04436,0.010894,21,0,0,10,0,69,22,0,27,17,0,34,QZ,MIXED
S34_005,33,170,33,21.78431373,one,alfs,aqu,Alb,Typic,Solution Residuum,PD,0,13315.88549,94.11818182,4.818181819,1.063636364,63.3682353,13.46117647,23.17058824,0.4264,0.40755,4.8635,7.2922,3.6725,6.6732,0.49025,0.10175,1.0635,5.57124,0.5849,29.62348,3.90455,35.21738,0.136025,0.837569,31,0,14,15,0,40,79,0,11,7,0,4,QZ,SM
S34_007,71,15,71,8.64021163,one,ods,aqu,Al,Ultic,Solution Residuum,PD,24,22906.86652,96.46901418,3.019718313,0.532394367,79.89545454,3.481818181,16.62272728,0.45407,0.42,4.942,4.7,3.487,3.3,0.77436,1.41,0.5325,11.25,0.15109,0.08,2.54212,11.32,0.068363,0.007,0,0,0,20,0,80,0,0,36,30,0,34,QZ,MIXED
S36_001,48,18,48,4.230642504,one,ents,aqu,Psamm,Lithic,Paludal Deposits,PD,5,55950.00853,94.7875,2.683333333,2.529166667,89.2,0.1,10.7,0.39291,0.39,8.2209,8,7.8584,7.5,0.15475,0.13,2.5291,1.34,17.72277,27.69,17.78189,29.03,0.996544,0.954,69,0,0,13,0,18,71,0,0,14,0,15,SM,SM
S36_009,64,12,64,15.36842105,one,alfs,aqu,Endo,Arenic,Solution Residuum,PD,8,54009.27739,98.13125,0.91875,0.95,83.4,2,14.6,0.42732,0.35,6.1865,7.8,5.2821,7,0.33274,0.34,0.9506,1.81,0.45837,13.67,1.77391,15.48,0.250829,0.883,0,0,13,9,3,76,0,0,31,19,25,25,QZ,MIXED
S36_012,112,5,112,6.770780847,one,ods,aqu,Al,Arenic,Solution Residuum,PD,36,63141.94601,98.69464286,0.596428572,0.708928572,93.7,1.5,4.8,0.4398,0.38,5.4242,5.3,4.2779,4.6,0.38365,1.89,0.7092,16.19,0.233,2.2,5.97363,18.39,0.044831,0.12,0,0,9,2,0,90,0,0,14,5,20,61,QZ,QZ
S36_015,71,132,71,30.84167366,one,ods,aqu,Al,Alfic,Solution Residuum,PD,20,41827.74414,97.97887324,1.407042253,0.614084506,79.01818181,2.042424243,18.93939395,0.38816,0.39368,6.0508,4.6652,5.1384,3.9804,0.42239,0.7474,0.6143,4.51416,0.45883,5.40704,4.18141,9.9212,0.089285,0.562116,0,0,15,14,0,72,0,0,40,48,0,13,QZ,MIXED
S36_017,94,36,94,13.28073397,one,ods,aqu,Hapl,Alfic,Solution Residuum,PD,20,40988.27751,97.97340416,0.867021277,1.159574466,82.6,2,15.4,0.4252,0.35,5.2574,6.9,4.1297,6,0.77682,0.7,1.1588,2.22,0.48554,7.26,1.97588,9.48,0.212116,0.766,7,0,9,16,0,70,28,0,31,27,0,14,QZ,MIXED
S36_019,68,11,68,6.181818172,one,alfs,ud,Hapl,Psammentic,Solution Residuum,MWD,0,61762.80291,97.98382363,1.207352942,0.808823531,92.6,2.4,5,0.48433,0.45,5.5217,6.2,4.896,5.9,0.19209,0.19,0.8096,0.94,0.35075,1.33,1.28838,2.27,0.196452,0.586,0,0,52,17,0,31,0,0,56,0,0,44,HV,HV
