ID,TOP_DEP,BOTT_DEP,CRITERIA,ZONE,UI,DISCONT,TOT_SAND,navy,olivedrab,yellow,orange,red,,navy,olivedrab,yellow,orange,red
S04_009,48,58,one,top,0.05,no,88.5,0.45,8.25,27.34,50.51,13.45,,0.4,7.3,24.2,44.7,11.9
S04_009,58,68,one,gain,0.03,no,89.1,0.34,7.52,26.26,53.20,12.68,,0.3,6.7,23.4,47.4,11.3
S04_009,68,89,one,other,0.06,no,92.6,0.32,6.70,24.73,53.35,14.90,,0.3,6.2,22.9,49.4,13.8
S04_009,89,96,one,gain,0.05,no,74.8,0.27,7.09,26.47,52.94,13.24,,0.2,5.3,19.8,39.6,9.9
S04_009,96,152,one,gain,0.38,no,71.3,0.28,7.01,32.68,51.89,8.13,,0.2,5,23.3,37,5.8
S04_009,152,203,one,gain,0.77,no,75.2,0.27,9.57,46.01,42.69,1.46,,0.2,7.2,34.6,32.1,1.1
S05_005,0,15,one,loss,0,no,90.1,0.55,12.87,41.73,39.62,5.22,,0.5,11.6,37.6,35.7,4.7
S05_005,15,33,one,loss,0.30,no,93.8,0.75,13.33,42.11,38.59,5.22,,0.7,12.5,39.5,36.2,4.9
S05_005,33,51,one,loss,0.19,no,94.3,0.74,15.38,46.66,33.30,3.92,,0.7,14.5,44,31.4,3.7
S05_005,51,64,one,loss,0.12,no,93.2,0.75,14.38,43.56,36.70,4.61,,0.7,13.4,40.6,34.2,4.3
S05_005,64,91,one,top,0.20,no,76.6,1.04,15.14,41.64,37.34,4.83,,0.8,11.6,31.9,28.6,3.7
S05_005,91,104,one,gain,0.13,no,77.4,1.03,15.37,41.86,35.40,6.33,,0.8,11.9,32.4,27.4,4.9
S05_005,104,152,one,gain,0.92,yes,76.4,1.31,14.92,39.53,36.78,7.46,,1,11.4,30.2,28.1,5.7
S05_006,0,13,one,loss,0,no,92.1,0.11,10.53,56.24,31.81,1.30,,0.1,9.7,51.8,29.3,1.2
S05_006,13,36,one,loss,0.32,no,96.3,0.10,5.71,47.77,44.34,2.08,,0.1,5.5,46,42.7,2
S05_006,36,66,one,loss,0.02,no,96.9,0.10,5.78,42.11,49.54,2.48,,0.1,5.6,40.8,48,2.4
S05_006,66,76,one,top,0.68,no,86.5,0.23,7.63,43.35,46.59,2.20,,0.2,6.6,37.5,40.3,1.9
S05_006,76,86,one,gain,0.02,no,88,0.23,7.27,43.18,47.16,2.27,,0.2,6.4,38,41.5,2
S05_006,86,99,one,gain,0.41,no,91,0.22,8.13,45.16,44.62,1.87,,0.2,7.4,41.1,40.6,1.7
S05_006,99,150,one,gain,0.17,no,91.4,0.22,8.97,50.33,38.95,1.53,,0.2,8.2,46,35.6,1.4
S05_007,0,13,one,loss,0,no,96.1,0.00,1.04,5.20,88.45,5.31,,0,1,5,85,5.1
S05_007,13,38,one,loss,0.12,no,97.2,0.00,0.93,5.04,88.79,5.14,,0,0.9,4.9,86.3,5
S05_007,38,51,one,top,0.07,no,93.2,0.11,1.07,5.36,88.20,5.26,,0.1,1,5,82.2,4.9
S05_007,51,64,one,other,0.07,no,94.5,0.00,0.95,5.08,88.89,5.08,,0,0.9,4.8,84,4.8
S05_007,64,74,one,other,0.04,no,96.1,0.10,1.04,4.89,88.97,4.99,,0.1,1,4.7,85.5,4.8
S05_007,74,91,one,other,0.04,no,96.8,0.10,1.24,5.27,88.22,5.17,,0.1,1.2,5.1,85.4,5
S05_007,91,122,one,other,0.20,no,97.7,0.10,1.13,4.81,88.95,5.02,,0.1,1.1,4.7,86.9,4.9
